"","words","Freq"
"1","",1
"2","",1
"3","ÍŠ",1
"4","00000",1
"5","000888888888888",1
"6","000km",1
"7","00101110",1
"8","00110010",1
"9","00110100",1
"10","00110110",1
"11","00111000",1
"12","0012",1
"13","0013",1
"14","0021",1
"15","003399",1
"16","0044",1
"17","0056",1
"18","0089",1
"19","00hr",1
"20","00x31",1
"21","010010010010000001101100011011110111011001100101001000000110001101100001011010110110010100100001",1
"22","010011010110111101101111",1
"23","0101010101010101010101010101",1
"24","0101100101101111011101010010000001010111011000010111001101110100011001010110010000100000011110010110111101110101011100100010000001110100011010010110110101100101001000000011110101000100",1
"25","01039136005",1
"26","01100010",1
"27","01101000",1
"28","01101111",1
"29","01110011",1
"30","01110100",1
"31","01110101",1
"32","0114915226155977",1
"33","0118",1
"34","0123",1
"35","0124383350",1
"36","0130",1
"37","0132",1
"38","01672132320",1
"39","01672459004",1
"40","01am",1
"41","021",1
"42","022",1
"43","0240",1
"44","0281",1
"45","02o",1
"46","03160238884",1
"47","0325",1
"48","033",1
"49","0330",1
"50","03538bce793b31d9753fee68a4edf1af",1
"51","037",1
"52","0398r40293qwj",1
"53","039r7",1
"54","040",1
"55","0400",1
"56","0406234093",1
"57","0416",1
"58","041710",1
"59","043",1
"60","046",1
"61","0466113450",1
"62","0469",1
"63","0494",1
"64","0497",1
"65","04am",1
"66","05k8dgexzxm",1
"67","05pm",1
"68","0620",1
"69","0627312471",1
"70","0685",1
"71","06am",1
"72","06pm",1
"73","06when",1
"74","070",1
"75","070209",1
"76","070994977",1
"77","0721",1
"78","0727",1
"79","0741976794",1
"80","07483010812",1
"81","075",1
"82","07575947812",1
"83","076",1
"84","077",1
"85","07722551456",1
"86","07896554368",1
"87","07901703558",1
"88","07908617497",1
"89","07938779057",1
"90","07chuck",1
"91","07ev4",1
"92","0800",1
"93","0813",1
"94","0818",1
"95","081932961161",1
"96","0830",1
"97","0861",1
"98","0865",1
"99","08chuck",1
"100","08pm",1
"101","09063882818",1
"102","0907201502073935",1
"103","09084692889",1
"104","09088877166",1
"105","0910",1
"106","091008",1
"107","09165971245",1
"108","09166",1
"109","0917",1
"110","09172414864",1
"111","09174226800",1
"112","09178997898",1
"113","09235192072",1
"114","09267169988",1
"115","09276751981",1
"116","09305692096",1
"117","0938444boys",1
"118","09398148005",1
"119","094",1
"120","095",1
"121","09529521498",1
"122","098as",1
"123","098wt",1
"124","09am",1
"125","09s",1
"126","0d",1
"127","0ff",1
"128","0ft",1
"129","0ld",1
"130","0lvid0",1
"131","0n3",1
"132","0nly",1
"133","0o",1
"134","0or",1
"135","0ry",1
"136","0ti",1
"137","0tjjoymmkmz",1
"138","0x45050f03",1
"139","0x5365103c",1
"140","0x60712053",1
"141","100000",1
"142","1000000",1
"143","1000000000",1
"144","1000000000000",1
"145","10000000000000000000000000",1
"146","1000000000000000000000000000",1
"147","10000000000x",1
"148","100000418938848",1
"149","100000427790422",1
"150","100000659795449",1
"151","100000685178534",1
"152","100001114641247",1
"153","1000thanks",1
"154","1001",1
"155","100f",1
"156","100ft",1
"157","100k",1
"158","100km",1
"159","100kmph",1
"160","100lbs",1
"161","100meter",1
"162","100mph",1
"163","100pre",1
"164","100th",1
"165","100ü¾˜–ˆ¼",1
"166","101002",1
"167","101ng314oic",1
"168","1020",1
"169","1021",1
"170","1029",1
"171","1030pm",1
"172","1035",1
"173","1041",1
"174","1045",1
"175","104833032893573",1
"176","10500",1
"177","1057x",1
"178","105ü¾Œ†ˆ¼f",1
"179","1060723718",1
"180","106808",1
"181","107",1
"182","107804",1
"183","1089477436",1
"184","1090",1
"185","1098",1
"186","1098578975",1
"187","10cent",1
"188","10cents",1
"189","10degree",1
"190","10kg",1
"191","10ko",1
"192","10ks",1
"193","10lbs",1
"194","10mins",1
"195","10minutes",1
"196","10mos",1
"197","10october",1
"198","10s",1
"199","10se",1
"200","10sec",1
"201","10v",1
"202","110002",1
"203","1102",1
"204","1108",1
"205","11111",1
"206","111111111",1
"207","111111111111111111111111111111111111111111",1
"208","1113",1
"209","11200",1
"210","1122",1
"211","112miles",1
"212","1135579499",1
"213","1136592733",1
"214","114",1
"215","1149700",1
"216","1150",1
"217","1152308934",1
"218","11530",1
"219","1162992",1
"220","1174",1
"221","11911",1
"222","11hours",1
"223","11hrs17mins",1
"224","11k",1
"225","11mins",1
"226","11not",1
"227","11ounces",1
"228","11r",1
"229","11s",1
"230","1203494073600136732",1
"231","1205765795",1
"232","12066",1
"233","1207",1
"234","120cm",1
"235","120hrs",1
"236","120kb",1
"237","120v",1
"238","12152205",1
"239","1221",1
"240","1221250974",1
"241","1222",1
"242","1224",1
"243","1227720369",1
"244","1230",1
"245","123177317783125",1
"246","1234",1
"247","123456789",1
"248","1234567890",1
"249","12345678910",1
